2023
9 , 0, 416
0.25 , 0, 1055
9.75 , 0, 1468
8.5 , 0, 1320
6.5 , 0, 103
8.5 , 0, 1868
2.75 , 0, 685
4 , 0, 1960
8 , 0, 1511
9.25 , 0, 1908
16.5 , 0, 0
8.25 , 1, 1438
9 , 1, 677
5 , 1, 1858
5.5 , 1, 1840
11.75 , 1, 926
-10.5 , 1, 1
12 , 2, 1765
2.25 , 2, 1725
-35.75 , 2, 2
2.5 , 3, 2021
-47.5 , 3, 3
4 , 4, 1247
11.75 , 4, 937
8.75 , 4, 98
-25.5 , 4, 4
9.75 , 5, 1417
2.75 , 5, 1863
4 , 5, 1251
0.5 , 5, 359
9 , 5, 638
6.75 , 5, 541
11.25 , 5, 1213
2.5 , 5, 956
-3.5 , 5, 5
10.25 , 6, 1784
2.5 , 6, 1416
6.5 , 6, 793
2.5 , 6, 1440
3.25 , 6, 1393
2.75 , 6, 214
12.25 , 6, 619
5.75 , 6, 1555
-4.25 , 6, 6
9.75 , 7, 859
1.5 , 7, 105
5.5 , 7, 1872
1 , 7, 772
0.5 , 7, 282
2.75 , 7, 1887
9.75 , 7, 1729
0.5 , 7, 1895
4.5 , 7, 73
11.25 , 7, 608
-3 , 7, 7
6.75 , 8, 518
3.25 , 8, 224
10 , 8, 25
5.25 , 8, 882
0.5 , 8, 360
9.25 , 8, 661
9.75 , 8, 1297
5 , 8, 1228
-0.25 , 8, 8
4.75 , 9, 1354
7.5 , 9, 1841
3.75 , 9, 787
8.75 , 9, 10
8.5 , 9, 762
0.5 , 9, 1611
11.75 , 9, 654
9 , 9, 1393
4.5 , 9, 9
11.75 , 10, 1544
8 , 10, 1393
3.75 , 10, 498
9 , 10, 278
-17.5 , 10, 10
7.75 , 11, 685
-42.25 , 11, 11
9.25 , 12, 56
3.25 , 12, 69
3 , 12, 70
8.5 , 12, 1898
5.25 , 12, 779
6.75 , 12, 483
1.25 , 12, 585
-12.75 , 12, 12
8.75 , 13, 429
1.25 , 13, 193
-40 , 13, 13
4 , 14, 1767
5.25 , 14, 1733
6.25 , 14, 1881
-34.5 , 14, 14
11.5 , 15, 592
9.75 , 15, 897
3.75 , 15, 1641
4.25 , 15, 1095
9.25 , 15, 1206
4 , 15, 833
5 , 15, 1257
12.25 , 15, 1056
2 , 15, 388
11.75 , 15, 15
4.75 , 16, 1345
2.5 , 16, 1348
5.75 , 16, 1586
2.75 , 16, 1150
11 , 16, 446
11 , 16, 1144
-12.25 , 16, 16
4.5 , 17, 964
8.5 , 17, 937
4.5 , 17, 735
-32.5 , 17, 17
6.5 , 18, 1920
0.25 , 18, 83
11 , 18, 1262
0.25 , 18, 389
7.75 , 18, 869
7.75 , 18, 1746
10 , 18, 450
10.75 , 18, 800
4.25 , 18, 18
12 , 19, 1660
7.25 , 19, 764
10.25 , 19, 1747
-20.5 , 19, 19
3.75 , 20, 1745
-46.25 , 20, 20
11.5 , 21, 1165
7.25 , 21, 352
2.75 , 21, 1298
5.5 , 21, 1850
5 , 21, 1286
3.75 , 21, 1512
10.5 , 21, 424
11.75 , 21, 704
8 , 21, 21
4 , 22, 1058
4.25 , 22, 122
8.5 , 22, 1770
8.25 , 22, 648
-25 , 22, 22
7.25 , 23, 505
1.75 , 23, 664
8.25 , 23, 1322
5.75 , 23, 1653
10.5 , 23, 767
1.25 , 23, 658
6.25 , 23, 1663
7.75 , 23, 437
-1.25 , 23, 23
6 , 24, 1324
10.75 , 24, 1801
3.5 , 24, 194
5.75 , 24, 326
7 , 24, 1507
1 , 24, 1795
9.25 , 24, 1298
9.75 , 24, 1677
6.25 , 24, 1718
9.25 , 24, 24
8.25 , 25, 1527
9.75 , 25, 186
9.75 , 25, 1677
9.5 , 25, 273
11.5 , 25, 787
6.75 , 25, 1216
5.5 , 25, 25
6.25 , 26, 240
0.25 , 26, 350
10.75 , 26, 1841
7.5 , 26, 1676
2.5 , 26, 908
2 , 26, 1369
3.25 , 26, 349
2.25 , 26, 87
2.25 , 26, 1042
4 , 26, 1552
-9 , 26, 26
6.25 , 27, 772
8.25 , 27, 726
5.5 , 27, 1735
1 , 27, 1165
1.25 , 27, 1719
7 , 27, 986
6.5 , 27, 1752
9 , 27, 725
11.5 , 27, 943
1.25 , 27, 1676
7.5 , 27, 27
10.75 , 28, 1873
-39.25 , 28, 28
9.75 , 29, 281
0.75 , 29, 1436
11.5 , 29, 125
4.5 , 29, 957
2.75 , 29, 167
6 , 29, 1547
2 , 29, 605
10.75 , 29, 782
11.25 , 29, 1598
7.75 , 29, 1151
17 , 29, 29
7.75 , 30, 245
8.25 , 30, 216
-34 , 30, 30
11 , 31, 899
8 , 31, 1570
0.5 , 31, 1313
2.5 , 31, 1432
5.5 , 31, 1565
2.75 , 31, 1370
0.75 , 31, 1243
9.5 , 31, 181
7.5 , 31, 519
-2 , 31, 31
3.75 , 32, 1688
2 , 32, 70
4.5 , 32, 1702
10.25 , 32, 76
7.5 , 32, 1660
2 , 32, 1
10 , 32, 1072
2.5 , 32, 1998
-7.5 , 32, 32
9.25 , 33, 485
0.25 , 33, 1617
5 , 33, 691
4.5 , 33, 945
11.75 , 33, 1106
-19.25 , 33, 33
4.25 , 34, 774
-45.75 , 34, 34
0.75 , 35, 1345
2.75 , 35, 1720
11.25 , 35, 1565
0.75 , 35, 1524
-34.5 , 35, 35
3 , 36, 359
-47 , 36, 36
11.25 , 37, 361
2.5 , 37, 1181
11.25 , 37, 1353
8.75 , 37, 542
9.75 , 37, 1479
-6.5 , 37, 37
5.75 , 38, 1746
8.5 , 38, 1401
1.5 , 38, 351
0.75 , 38, 1478
7.25 , 38, 1241
1.25 , 38, 1943
-25 , 38, 38
1.75 , 39, 114
4.75 , 39, 1790
-43.5 , 39, 39
